,,,,subtopic extraction,,poc,,
meant by,taxonomy,What is meant by urban computing & intelligence?,"Urban computing & intelligence aims create novel solutions that bridge technology gaps between ubiquitous sensing systems elements which sense more than one thing at once, intelligent computing components which understand whats being sensed through AI algorithms, cooperative communication channels which transmit information from sensors large-scale storage capacityfor storing all collected sensor reading",pollution,blockchains' 'sustainable',pollution,Cyber Security' 'Sustainable Cities',
what type,strategy,What type services can be developed with the help of advanced tools used in digitalized cities?,"Advanced tools used in digitalised cities can be used to develop various types services related to efficient transport management , better traffic control , improvements street lighting setup , optimal mobility structure , waste disposal system according optimising energy consumption pattern , environmental monitoring methodologies along with building effectiveness improvement strategies like public safety measures also healthcare programmes have been beneficial too suggest education approaches towards achieving that overall ambient sustainability level within digitally evolved environment",pollution,sustainable' 'ecology' 'renewables' 'roofs',pollution,Sustainable Cities' 'Eco-diversity' 'Clean Energy' 'Green Architecture',
technologies,science&tech,What are some of the spheres of city administration that utilize data-based technologies?,"The spheres of city administration that utilize data-based technologies include transport management, traffic management, street lighting management, mobility management, waste management, energy management, environmental monitoring building Management, public safety healthcare and education",pollution,sustainable',pollution,Sustainable Cities',
technology,science&tech,What is urban computing and intelligence?,"Urban computing and intelligence refers to the use of ubiquitous sensing technology combined with intelligent computing networks and large scale data processing techniques to create innovative solutions for enhancing urban forms, infrastructures , environments and services",pollution,sustainable',pollution,Sustainable Cities',
management,management,How is the smart city concept related to data based city mangement?,The smart city concept builds on concepts used in data based city managment such as collecting and analyzing data in order to make assets more efficient while optimizing functions within a given area towards improving sustainability resilience equity or quality life for citizens,pollution,sustainable' 'gdp' 'ecology',pollution,Sustainable Cities' 'Macroeconomic Indicators' 'Eco-diversity',
managing,management,How does Data Based City Managing facilitate shared vision development?,Data Based City Manager unifies different actors around a shared vision for sustainable development by offering feasible plans tailored for day -to -day realities which benefits people across different ways ,pollution,sustainable',pollution,Sustainable Cities',
effects,strategy,What kind of impact will implementing advanced services have on creating livable attractrive cities?,Implementing advanced services has significant effects on making cities liveable & attractive which leads further developments realizing cohesion & congruence among strategies ,pollution,sustainable' 'ecology' 'externalities',pollution,Sustainable Cities' 'Eco-diversity' 'Behavioral Externalities',
yes,factual,Does Urban Computing Intelligence allow shaping up novel solutions regarding enhancing urban form & its environments?,Yes Indeed Urban Compuing Allow shaping up various novel Solutions aiming at enhacing urban forms its infrastructure environment and services,pollution,sustainable',pollution,Sustainable Cities',
infrastructure +platform,science&tech,What is horizontal information platforms,Horizontal information platforms is a key competence for performing the core functions of big data analytics and constitute both the data infrastructure and operating system for the city,pollution,,pollution,,
platform + technologies,science&tech,How does functionally compatible horizontal information platforms help in creating a united ecosystem for the city?,"Functionally compatible horizontal information platforms allow different urban technologies and solutions to be linked together, thereby enabling greater coordination of the city systems and domains",pollution,sustainable',pollution,Sustainable Cities',
interlink data,science&tech,What are operations centers and dashboards?,Operations Centers and Dashboards draw together and interlink data generated by the city complex to provide an integrated view and synoptic intelligence of it,pollution,,pollution,,
policy,ethic and reg,What is strategic planning policy office used for?,"he Strategic Planning Policy Office serves as an analytical center responsible for managing development projects, programs, implementation & integration of compact ecological & technological aspects that are relevant to sustainable development goals & objectives ",pollution,sustainable',pollution,Sustainable Cities',
how,strategy,How do innovation & research centers contribute towards sustainability?,"Innovation & Research Centers develop, test & implement new solutions related to sustainability activities drawing on building , sharing , enhancing practical knowledge that aligns with strategies , policies & visions associated with urbanization ",pollution,sustainable',pollution,Sustainable Cities',
what+impart,factual,What disciplinary competences do educational centers impart?,"Educational centres impart expertise on disciplines ranging from Urban Science , Urban Informatics , Data Science , Computer Science etc that are heavily applied fields aiding data scientists in successfully implementing technology solutions to advance sustainability ",pollution,sustainable',pollution,Sustainable Cities',
how many,analysis,How many stakeholders are typically involved in transforming a city into a data-driven smart sustainable city?,"There are typically numerous stakeholders involved in transforming a city into a data-driven smart sustainable city, including citizens, decision makers, policy makers, planners, developers, architects, experts and more",pollution,sustainable',pollution,Sustainable Cities',
what is,taxonomies,What is pathway-oriented backcasting?,Pathway-oriented backcasting involves how to bring about transformations to the landscape of the data-driven smart sustainable city of the future,pollution,sustainable' 'ecology',pollution,Sustainable Cities' 'Eco-diversity',
analysis,analysis,What type of stakeholder analysis can be used for action or participation oriented backcasting?,A detailed stakeholder analysis should be used for action or participation oriented backcasting in order to generate information on relevant actors interests and agendas as well as influence on decision making processes,pollution,externalities',pollution,Sustainable Investing',
governance,strategy,Why should governance play an important role when it comes to managing transformative change within cities towards sustainability objectives?,Governance plays an important role when it comes to managing transformative change within cities towards sustainability objectives because adding governance and actors makes studiesmore socio - technically consistent and comprehensive which can identify if prevailing social structures restrain change,pollution,sustainable' 'externalities' 'ecology',pollution,Sustainable Cities' 'Sustainable Investing' 'Eco-diversity',
what ways,strategy,In what ways do stakeholders usually have differing interests when implementing long term plans related to developmental planning?,Stakeholders usually have differing interests when implementing long term plans related to developmental planning since they often possess unique agendas regarding their roles within certain contexts associated with such plans,pollution,externalities' 'sustainable',pollution,Sustainable Investing' 'Sustainable Cities',
how much,analysis,How much time needs normally need to develop a data-driven smart-sustainable City?,It normally takes 2550 years needed develope a datadriven smatrtsustainable City ,pollution,,pollution,,
management technologies,management,What type of tool would be beneficial for conceptualizing longterm developments towards data smarst sustainability goals?,Using project management technologies like Gantt charts can be advantageous for conceptualizing long-term developments towards data smart sustainability goals,pollution,sustainable' 'gdp' 'externalities',pollution,"Sustainable Cities' 'Macroeconomic Indicators'
 'Behavioral Externalities'",
is important,strategy,What is the importance of establishing competence centers?,"Establishing competence centers as multidisciplinary and multi-stakeholder research and demonstration arena is important because these centers should address newer subject areas, often conducting joint projects with businesses and various societal bodies",pollution,,pollution,,
how can,strategy,How can a city create competence centers?,"A city can create competence centers by cooperating with all stakeholders of the quadruple helix at the national level, needing support from the government as well as expertise within the various areas of sustainability and technology",pollution,sustainable',pollution,Sustainable Cities',
what +activities,strategy,What are some core activities related to backcasting when it comes to transforming cities into sustainable smart ones?,"Core activities related to backcasting when it comes to transforming cities into sustainable smart ones include how to bring about transformations, identifying actions and measures that connect a desirable state of future to present, institutional practices for supporting such transformation, stakeholder analysis for action-oriented or participation-oriented backcasting, conceptualizing long-term developments",pollution,sustainable' 'ecology' 'externalities' 'emissions' 'externalities' 'gdp',pollution,"Sustainable Cities' 'Eco-diversity' 'Behavioral Externalities'
 'Environmental Sustainability' 'Sustainable Investing'
 'Macroeconomic Indicators'",
how could,strategy,How could relevant actors behavior be understood in order to facilitate change?,"Understood relevant actors behaviors would involve understanding their interests, agendas and influence on decision making processes",pollution,externalities' 'externalities',pollution,Behavioral Externalities' 'Sustainable Investing',
what+purpose,strategy,What is the purpose of governance networks?,"The purpose of governance networks is to contribute to the production of public purpose as an expression of plans, policies, and regulatory frameworks that are valid for and directed towards the general public",pollution,,pollution,,
how +help,strategy,How do governance networks help with urban development?,"Governance networks help with urban development by providing enhanced learning, efficient use of resources, increased capacity to plan for complex problems, and better services for citizens",pollution,sustainable',pollution,Sustainable Cities',
why,strategy,Why does city government need invest in developing a bottom-up innovative ecosystem?,City governments need invest in developing a bottom-up innovative ecosystem so they can engage citizens in various ways while managing urban transformations such as those related to data driven smart sustainable cities,pollution,"sustainable' 'ecology' 'gdp' 'renewables' 'externalities'
 'externalities'",pollution,"Sustainable Cities' 'Eco-diversity' 'Macroeconomic Indicators'
 'Clean Energy' 'Behavioral Externalities' 'Sustainable Investing'",
what kind of,strategy,What kind of relationships among stakeholders determine what happens in a city?,The relationships among stakeholders involved in city governance determine what happens in a city,pollution,,pollution,,
what are+benefits,strategy,What are some benefits derived from network coordination within the public sector?,"The benefits derived from network coordination within the public sector include enhanced learning, more efficient use of resources, increased capacity to address complex problems more effectively ,and improved services provided to citizens ",pollution,,pollution,,
what +measures,strategy,What measures should be taken by local governments when it comes sustainability transitions?,"Local governments should take measures such as forming effective governance networks ,optimizing their functioning ,and promoting participatory democratic processes amongst key stakeholders when it comes sustainability transitions ",pollution,sustainable',pollution,Sustainable Cities',
how,strategy,How does establishing synergy between various actors enable widespread participation from citizenry?,Establishing synergy between various actors enables widespread participation from citizenry by helping develop technologies that ensure shared knowledge for democratic governing practices which results into informed participation ,pollution,,pollution,,
how,strategy,How does investing in advanced forms or models for city government lead toward achieving goals related to urban sustainability?,"By investing its money into advanced forms or models for city government ,a municipality can strengthen its ability towards preserving environment alongwith shaping goals relatedtourban sustainability through collective approach coordinated actions & decision making processes ",pollution,sustainable' 'externalities' 'renewables' 'ecology',pollution,"Sustainable Cities' 'Sustainable Investing' 'Clean Energy'
 'Eco-diversity'",
how,strategy,How do powerful efficiency gains occur due non functional behavior typically observed across governing bodies efficiently working together?,Powerful efficiency gains occur due to non-functional behaviour typically observed across governing bodies efficiently working together due to opportunities arising as a result of enhanced learning & efficient use of resources & better capacities for addressing complex problems and services provided to the citizens,pollution,sustainable' 'externalities' 'renewables',pollution,Sustainable Cities' 'Behavioral Externalities' 'Clean Energy',
challenges,strategy,What are the challenges that need to be addressed in order for governance networks to facilitate an efficient coordination of policy and planning for data-driven smart sustainable cities?,"Governance networks may fail due to inefficient coordination, so careful network governance is necessary Optimizing the functioning of these networks on all dimensions is a difficult task and requires investment in developing a bottom-up innovative ecosystem which engages citizens in various ways Additionally, there should be synergy between various actors as well as investments in technologies that ensure shared knowledge for democratic governance and informed participation",pollution,sustainable' 'externalities' 'blockchains',pollution,Sustainable Cities' 'Sustainable Investing' 'Cyber Security',
policy+regulation + how,strategy / ethics and reg,How can public policy contribute to making progress towards sustainability?,Public policies consist of a range of plans laws regulations behaviors that have been adopted by a city government aiming at aligning different urban actors in the same direction with regards to achieving the future vision set for sustainability Institutions also play an important role in facilitating coordination between various actors through governing their behavior deemed relevant for societal development,pollution,sustainable' 'externalities',pollution,Sustainable Cities' 'Behavioral Externalities',
what is required,strategy,What is required from institutions regarding sustainable development?,Institutions should create effective responses to problems associated with policy related to sustainability as well as support mobilization of resources such as knowledge exchange or technology transfer needed for successful implementation Furthermore they are responsible for mediating regulations/rules which govern stipulated behaviour viewed as necessary elements within society aiming at meeting long term goals pertaining to sustainability,pollution,sustainable' 'externalities' 'externalities' 'ecology',pollution,"Sustainable Cities' 'Behavioral Externalities' 'Sustainable Investing'
 'Eco-diversity'",
strategies,strategy,How does integrating design strategies from both compact cities and eco-cities help bolster environmental performance?,Integrating design strategies from both compact cities and eco-cities helps by improving environmental performance through combining principles such as mixed land use from the former with green tech innovation strategy from the latter This combination allows for better balancing of economic social and environmental goals associated with sustainability,pollution,sustainable' 'ecology' 'renewables',pollution,Sustainable Cities' 'Eco-diversity' 'Clean Energy',
research+findings+benefits,strategy,What are some of the conflicts between research findings concerning actual benefits delivered by compact cities or Eco Cities?,Conflicting research findings concerning actual benefits delivered by compact or eco cities have been due to biases inherent in research methods employed limited scope related to their designs & technologies; long term static planning approaches; simulation models unable to handle complexities & inefficient operational managements mechanisms among others factors,pollution,sustainable' 'ecology' 'externalities' 'externalities' 'vehicles',pollution,"Sustainable Cities' 'Eco-diversity' 'Behavioral Externalities'
 'Sustainable Investing' 'Automotive Industry'",
information technology or IT+planning+managing,management,What is meant by 'joined up' planning when it comes to understanding how information technology IT impacts sustainable developments in a city's environment?,"Joined up planning refers to integration & coordination that uses advanced IT tools like internet of things IOT, Big Data analytics etc, that enables monitoring understanding & embedding effects associated with environomental , economic ,social sustainabilty for making a cleaner safer ,more resilient ,efficient before further development takes place ",pollution,sustainable' 'externalities' 'ecology' 'blockchains' 'externalities',pollution,"Sustainable Cities' 'Behavioral Externalities' 'Eco-diversity'
 'Cyber Security' 'Sustainable Investing'",
technologies+factors,analysis,What factors shape how IoT/Big Data Technologies can embed in the fabric of sustainable cites?,"Physical geography, socio-political context,economic conditions historical cultural background all come into play shaping the way IoT/BigData tech can be applied to operational management processes & development planning practices in respective sustainable cities",pollution,sustainable' 'ecology',pollution,Sustainable Cities' 'Eco-diversity',
planning,management,How does Joined up planning help attain vision related tp environmental econmic +social Susitanibility?,Jointed Up Planning helps support environmetal economics nad social sustainability trough monitoring understanding embedding designd ans responses of sustainaible cties operational functioning visions policies strategies paths towards goals and priorities involving spaces and time frames,pollution,,pollution,,
partnerships + institutions + aim,strategy / ethics and reg,What ultimate aim do partnerships form between civic institutions try their best achieve?,The ultimate aim that partnerships formed between civic institutions attempt to achieve is improving economic outcomes while boosting local economies by demonstrating examples beneficial community effects through enhanced communication interaction whilst preserving biodiversity in natural ecosystems simultaneously maximising available resources all contributing towards improved social wellbeing overall,pollution,sustainable' 'externalities' 'externalities' 'ecology',pollution,"Sustainable Cities' 'Behavioral Externalities' 'Sustainable Investing'
 'Eco-diversity'",
Yes+trend,strategy,Is decentralization trend advantageous for tackling various challenges posed across different metropolis globally?,"Yes ,decentralisation allows local authorities giving them increased powers & responsibilities delegating those measures from higher levels back on ground bringing about collaborative efforts rather than relying upon highly centralized decision making enabling them faster response times tackling pressing issues relevant across metropolitan regions worldwide thus proving beneficial!",pollution,sustainable' 'externalities',pollution,Sustainable Cities' 'Behavioral Externalities',
why,strategy,Why should decision making in cities be decentralized?,Decentralizing decision making will provide local authorities with greater autonomy and enable them to act on particular issues that may directly affect their region without relying upon higher-level approval thus giving a faster response time than centralised management would allow for these same tasks or initiatives,pollution,sustainable' 'externalities' 'externalities' 'blockchains',pollution,"Sustainable Cities' 'Behavioral Externalities' 'Sustainable Investing'
 'Cyber Security'",
what advantages,strategy,What advantages does decentralisation offer Metropolitan Regions?,Decentralisation offers Metropolitan Regions the opportunity for more collaboration amongst local authorities as well as quicker response times when dealing with pressing matters thanks to delegated power away from centralized authority rather than total reliance on it alone,pollution,,pollution,,
How can,strategy,How can delegation of responsibility enable faster responses towards solving problems ?,"Through delegation of responsibility power is given back down onto the ground level ,allowing Regional Authorities an ability to act independently but still within acceptable parameters set out through general policies & regulations ;this provides much needed flexibility during crisis situations enabling faster responses without compromising accepted standards& practices ",pollution,,pollution,,
what+impact,strategy,What impact has decentralized authority had on solutions being applied worldwide ?,Decentralized authority has allowed different communities around world access resources they wouldn't otherwise acquire aiding those most affected by distant bureaucratic rule ;this sharing & support provided enables people face various difficulties climate change /solving conflicts etc come together discover solutions benefiting not just one group rather whole societies throughout entire planet!,pollution,sustainable' 'blockchains',pollution,Sustainable Cities' 'Cyber Security',
what +type,strategy,What type of ecosystem could potentially be designed according to cultural and ecological values?,"Certain novel ecosystems particularly those interfacing with modern urbanism could be viewed as purposefully designed landscapes, which encompass both cultural and ecological values2",pollution,ecology' 'sustainable',pollution,Eco-diversity' 'Sustainable Cities',
benefits,strategy,What are the benefits of design as a relevant cultural and aesthetic endeavour?,"The disciplines of ecology and biological conservation have recently attempted to articulate the benefits of design as a relevant cultural and aesthetic endeavour, such as creating ecological 'designed experiments' where public landscapes are created by melding analysis and aesthetics, that can be studied collaboratively by both ecologists and designers5",pollution,ecology' 'sustainable' 'externalities' 'roofs',pollution,"Eco-diversity' 'Sustainable Cities' 'Behavioral Externalities'
 'Green Architecture'",
what is,taxonomies,What is green-washing in regards to landscapes?,Green-washing occurs when ecosystems are veneers of ecology without due consideration for necessary complexities such as self-sustaining stability or local appropriateness Designing this way risks undervaluing potential associated with human interaction in terms of contributions/values gained7,biodiversity,"ecology' 'externalities' 'sustainable' 'externalities' 'roofs'
 'renewables'",biodiversity,"Eco-diversity' 'Behavioral Externalities' 'Sustainable Cities'
 'Sustainable Investing' 'Green Architecture' 'Clean Energy'",
what are,taxonomies,What are Kowarik's four natures approach?,"The four natures approach includes Nature 1 being 'old wilderness' pristine ecosystems, Nature 2 being the 'traditional cultural landscape' agricultural landscapes, Nature 3 being 'functional greening' gardens and parks, and Nature 4 being the 'new wilderness'10",biodiversity,ecology',biodiversity,Eco-diversity',
construct,taxonomies,How is Hunt's articulation of the Renaissance construct of Three Natures different from Kowarik's?,"Hunt's Three Natures finds a continuum or 'sliding scale of cultural intervention' with his 3rd nature emphasizing beauty, delight, and engagement of the senses when creating culturally-appropriate novel ecosystems In contrast, Kowarki does not differentiate between happenstance and conscientious design in his four natures approach11",biodiversity,ecology',biodiversity,Eco-diversity',
meant by,taxonomies,What is meant by Hunt's 3rd Nature?,"Hunt's 3rd nature involves deliberate spatial propositions that encompass beauty, aesthetic endeavour, metaphysical experience with physical forms, amenity of landscape, and engagement of sensual delights13",biodiversity,ecology',biodiversity,Eco-diversity',
definition,taxonomies,How do urban eco-systems relate to a dualistic opposition between culture & nature?,Urban eco-systems fall under Kowarik's definition for nature 4 which applies to areas where both cultural & natural mechanisms begin to assert themselves thereby creating new ecosystems regardless if through human design or happenstance This highlights how there can be similarities found between purely scientific paradigms & non-scientific conceptual frameworks despite their dualistic oppositions14,biodiversity,ecology' 'sustainable' 'externalities',biodiversity,Eco-diversity' 'Sustainable Cities' 'Behavioral Externalities',
result+affect,analysis,How did industrial production affect Landschaftspark in Duisburg-Nord Germany prior to its transformation into a park?,"Following decades of industrial degradation as a result of coal and steel production, this site, located in the densely populated Ruhr Valley, represented 230 acres of significantly polluted landscape Ecologically most biotic and abiotic thresholds had been irreversibly crossed, while culturally the site represented the Ruhr's industrial heritage16",biodiversity,ecology' 'emissions',biodiversity,Eco-diversity' 'Environmental Sustainability',
technicques,science&tech,What techniques were used to remediate contaminated soils at Landscaftpark in Duisburg-Nord Germany?,"Contaminated soils were sequestered or, where possible, mitigated through phytoremediation17",biodiversity,,biodiversity,,
why,strategy,Why was it necessary to retain infrastructure within the Landschaftspark in Duisburg-Nord Germany?,"The site's extensive infrastructure, including blast furnaces, foundries, bunkers, cooling towers, shops and gasometers was retained as remnants of a cultural landscape18",biodiversity,,biodiversity,,
what activities,factual,What activities are conducted by visitors at Landschaftpark in Duisburg-Nord Germany?,Visitors engage in activities typically found within an untamed national park or landscape reserve such as snorkelling and abseiling20,biodiversity,,biodiversity,,
what + play,factual,What role does Jordan's theatre play with respect to restoration at Landschaftpark in Duisburg-Nord Germany?,"By engaging play, delight and pleasure,Jordan 's theatre encourages restoration processes at Landschafpark in Duisburg-Nord Germany21",biodiversity,,biodiversity,,
tehncological,science&tech,"According to Weilacher, what technological measures are used when initiating natural processes on degraded sites?","According to Weilacher, when initiating natural processes on degraded sites, technological means that work according to rules set out by ecology are used23",biodiversity,ecology',biodiversity,Eco-diversity',
what+was,factual,What station was established after designing Landschaftpark in Duisburg-Nord Germany?,"After designing Landschaftpark in Duisburg-Nord Germany, a biological station was established in 2005 which aimed towards conservation & biodiversity studies24",biodiversity,ecology',biodiversity,Eco-diversity',
"mean, meaning ",taxonomy,What does the term novel ecosystem mean?,"Novel ecosystems refer to landscapes that have been altered by human activity, rather than attempting to restore it back to its natural state25",biodiversity,ecology',biodiversity,Eco-diversity',
examples,factual,What are some examples of novel ecosystems?,"Examples include Ferropolis in Grfenhainichen Germany, Tanghe River Park in Qinhuangdao, Hebei Province China and Tanner Springs Park in Portland OR USA26",biodiversity,,biodiversity,,
how,strategy,How do narrative and metaphor play a role in designing novel ecosystems?,"Narrative and metaphor can be used as tools of landscape architecture when creating these new types of spaces, revealing human intervention while still celebrating systems renewal27",biodiversity,ecology',biodiversity,Eco-diversity',
what type+needed+is required,strategy,What type of commitment is needed for successful rehabilitation of novel ecosystems?,Long-term commitment to rehabilitation is required when establishing these kinds of landscapes28,biodiversity,ecology',biodiversity,Eco-diversity',
how can +help,strategy,How can design help inform ecological restoration work?,Design principles derived from developing novel ecosystems could be relevant to those working in ecological restoration reciprocally with design informing science29,biodiversity,ecology' 'sustainable',biodiversity,Eco-diversity' 'Sustainable Cities',
why,strategy,Why aren't traditional methods used instead of novel ecosystem when creating some types of landscapes that have been altered by human activity?,Traditional methods are not utilized for these types of landscapes because novel ecosystems represent clear beneficial elements that cannot be replicated with more traditional forms30,biodiversity,ecology',biodiversity,Eco-diversity',
yes,factual,Do people interact within a created novel ecosystem space?,"Yes, people do engage with a created environment within a novel ecosystem space such as concerts, festivals and using sinuous benches along river banks designed specifically for interface between human activities and the surrounding ecology32",biodiversity,ecology' 'sustainable',biodiversity,Eco-diversity' 'Sustainable Cities',
maintaining+require,management,Does this type of landscape require special long-term maintenance efforts?,"Yes, maintaining an established landscape requires significant long term commitment to carry out an effective rehabilitation process over time without reverting back into its original condition before being developed into a new ecology system33",biodiversity,ecology',biodiversity,Eco-diversity',
involves,strategy/management,In what ways is restoring nature similar to engaging within literature or metaphorical activities?,"Restoring nature involves reviving existing landforms such as wetlands or forests while engaging in topics related to literature through metaphors allows one to explore their own creative freedom beyond just attempting to maintain pre existing conditions, embracing change ultimately leading towards successful ecological reformation34",biodiversity,ecology' 'sustainable' 'externalities',biodiversity,Eco-diversity' 'Sustainable Cities' 'Behavioral Externalities',
what is,factual,"What is a common feature of the novel ecosystems parks Duisburg-Nord Landschaftspark, Tanghe River Park and Tanner Springs Park?",A common feature of these parks is their renewed engagement as novel cultural landscapes35,biodiversity,ecology',biodiversity,Eco-diversity',
achieved,strategy,How was the engagement in these parks achieved?,The engagement in these parks was directly achieved by careful design of otherwise derelict or highly degraded sites36,biodiversity,,biodiversity,,
how,strategy,How do proponents within ecology view such engagements?,"Proponents within ecology, specifically novel ecology, have found merit in the relevance to such engagements37",biodiversity,ecology' 'externalities',biodiversity,Eco-diversity' 'Sustainable Investing',
strategies,strategy,What strategies are being used to address increasing numbers of sites arising from urbanization and industrialization?,"Proximity, nativeness, and gardening are all strategies that ecologists have brought into the debate to address increasing numbers of sites rising from urbanization and industrialization38",biodiversity,sustainable' 'ecology' 'emissions',biodiversity,Sustainable Cities' 'Eco-diversity' 'Environmental Sustainability',
what qualities,analysis,What qualities can be found in beloved and valued places both natural and nonnatural?,"Qualities that can be found in beloved and valued places both natural and nonnatural include a landscape's inherent sensuality, wonder, and delight39",biodiversity,,biodiversity,,
scientific,science&tech,"Are terms like curiosity, delight pleasure, wonder typically found with scientific discourse?",While these terms may not typically be included within scientific discourse they are not entirely unheard off with general realms of science40,biodiversity,,biodiversity,,
who,factual,Who has studied the relevance associated with engaging designed landscapes?,Higgs 2003 has studied the relevance associated with engaging designed landscapes41,biodiversity,ecology',biodiversity,Eco-diversity',
what types,,What types of land uses contribute to an increase in the number of sites during Anthropocene?,"Urbanization, agricultural expansion and industrialization, all contribute towards increasing the number of sites during Anthropocene42",biodiversity,ecology',biodiversity,Eco-diversity',
strategies,,How have ecologists addressed debates around beloved places?,"Ecologists have brought strategies like proximity, nativeness, gardening, into debates around beloved places43",biodiversity,,biodiversity,,
why,,Why are novel ecosystems important components in urban areas?,Novel ecosystems are important components in urban areas because they provide opportunities for systems renewal while incorporating both cultural and ecological values46,biodiversity,ecology' 'sustainable',biodiversity,Eco-diversity' 'Sustainable Cities',
"302,627",,What makes the Southwest Australian Floristic Region SWAFR relevant region in ecosystems?,"The SWAFR has an area of 302,627 km2 and is amongst the Earth's richest in endemic species and is recognized as one of 25 global biodiversity hotspots47",biodiversity,ecology',biodiversity,Eco-diversity',
why,,Why are vegetated areas with high ecological fidelity in the Southwest Australian Floristic Region under threat in undeveloped areas?,Vegetated areas in the Southwest Australian Floristic Region with high ecological integrity are currently under threat due to urbanization commensurate to a booming mining economy and a rapidly growing population48,biodiversity,ecology',biodiversity,Eco-diversity',
what type,,What type of weather patterns do local plant species need to be adapted to in the Southwest Australian Floristic Region?,Local plant species need to be adapted to Mediterranean weather patterns in the Southwest Australian Floristic Region50,biodiversity,ecology',biodiversity,Eco-diversity',
pattern,,How does development affect Perth's landscape pattern?,Development promotes an elongated urbanization pattern from north-to-south following the coastline51,biodiversity,ecology',biodiversity,Eco-diversity',
yes,,Is mining connected with rapid population growth in the Southwest Australian Floristic Region?,"Yes, mining is connected with rapid population growth in the region52",biodiversity,,biodiversity,,
yes,,Is government responsible for managing land disturbances associated with urbanization?,"Yes, government agencies are responsible for managing land disturbances associated with urbanization53",biodiversity,,biodiversity,,
how,,How do residents typically create a sense of 'belonging' in urban areas?,Residents often construct gardens that prioritize exotic species over native to create a sense of 'belonging'55,biodiversity,ecology',biodiversity,Eco-diversity',
why,,"According to the text, why is it difficult for current landscape architectural and development practices to fit into the complexities of the Southwest Australian Floristic Region's old climatically buffered and infertile landscapes?",Current landscape architectural and development practices do not always fit well into these complex contexts due their established northern hemisphere origins56,biodiversity,ecology',biodiversity,Eco-diversity',
what type,,What type of artificial lakes are found in the Southwest Australian Floristic Region's coastal heath?,Artificial lakes reminiscent of those from verdant English countryside have been constructed into the free-draining dunes along the Southwest Australian Floristic Region's coastal heath57,biodiversity,,biodiversity,,
how + systems,,How does new development tend to alter the topography on secondary dune systems in the Southwest Australian Floristic Region?,New developments tend to substantially erase any sloping topography on secondary dune systems and replace them with terraced suburban blocks58,biodiversity,ecology',biodiversity,Eco-diversity',
what +result,,What is being diminished as a result of increased urbanization on both private and public land in the Southwest Australian Floristic Region?,"The footprint of robust, biologically-rich endemic landscape is diminishing as a result of increased urbanization on both private and public land59",biodiversity,ecology',biodiversity,Eco-diversity',
hemisphere,,"Why might young, often disturbed fertile landscape sites in the Southwest Australian Floristic Region be particularly vulnerable when predicated by northern hemisphere based design principles?","Young, often disturbed fertile landscapes YODFELs may be more vulnerable than other more established ecosystems since they are likely still adapting or settling, making them susceptible by being determined by Northern Hemisphere design influences that may be unfamiliar or inappropriate for local conditions60",biodiversity,ecology' 'externalities',biodiversity,Eco-diversity' 'Behavioral Externalities',
why + artificial lake,science&tech,Why would an artificial lake typically stand out amidst otherwise drought resistant flora?,Artificial lakes generally require high input nutrients/water resources which can contrast against naturally occurring drought tolerant flora which don't need additional water sources or fertilizers etc; thus giving rise its prominence amongst other otherwise low maintenance vegetation growths61,biodiversity,ecology',biodiversity,Eco-diversity',
strategies,strategy,What are some strategies to help overcome the barrier of cultural attitudes towards ecologically appropriate design?,"Specific design strategies to help overcome this barrier include minimizing nutrient inputs, minimizing the importation of alien plants and animals and diseases, planting locally endemic species, practicing focal restoration practices based on historical concepts from Baroque landscapes and engaging in ecologically regenerative landscape designs62",biodiversity,ecology' 'sustainable',biodiversity,Eco-diversity' 'Sustainable Cities',
technique,science&tech,What type of technique is being derived from the Baroque?,"The technique being derived from the Baroque is not a style but rather an analytical system involving elements associated with formality such as symmetry, perspective or concentricity64",biodiversity,ecology',biodiversity,Eco-diversity',
how,strategy,How can we promote biodiversity in urban landscapes?,Promoting biodiversity in urban landscapes can be achieved through minimising nutrient inputs; limiting the introduction of exotic plants/animals/diseases; creating focal points for native wildlife using meraviglia techniques; increasing habitats by planting endemic species; and implementing regeneration strategy designs informed by historical contexts such as those found during the Baroque period65,biodiversity,ecology' 'sustainable' 'externalities',biodiversity,Eco-diversity' 'Sustainable Cities' 'Behavioral Externalities',
why,strategy,Why should native species be prioritised over exotics ones when designing an ecological urban space?,Native species should be prioritised because they have adapted to their specific environment over time which makes them more likely to thrive within their local ecosystem than non-native or exotic species that may not possess natural predisposed traits suited for survival at that location This helps ensure existing ecosystems remain balanced while also preventing further damage due to introductions of foreign organisms or diseases66,biodiversity,ecology',biodiversity,Eco-diversity',
techniques,science&tech,How can the techniques of neobaroque ecology be used to restore ecosystems?,"Neobaroqure ecology techniques can be used to restore ecosystems by creating or preserving complexity, increasing heterogeneity of species, manipulating spatial constructs that positively affect abiotic and biotic conditions, and emulating patterns within the horizontal and topographic arrangement67",biodiversity,ecology' 'sustainable' 'renewables',biodiversity,Eco-diversity' 'Sustainable Cities' 'Clean Energy',
ecosystems,science&tech,What qualities does the baroque share with restored ecosystems?,"The baroque shares qualities such as complexity, allegory, dynamism, multiplicity with restored ecosystems68",biodiversity,ecology',biodiversity,Eco-diversity',
